table_schema,table_name,column_name,data_type,row_count,null_count,null_rate,approx_distinct,approx_distinct_rate,min_value,max_value,profile_seconds
main,internacoes,DT_INTER,DATE,183877219,0,0.0,5779,3.1e-05,2000-01-01,2023-12-31,54.221
main,internacoes,DT_SAIDA,DATE,183877219,0,0.0,5779,3.1e-05,2007-08-01,2023-12-31,54.221
main,internacoes,DIAS_PERM,SMALLINT,183877219,0,0.0,44,0.0,0,97,54.221
main,internacoes,DIAR_ACOM,SMALLINT,183877219,0,0.0,243,1e-06,0,361,54.221
main,internacoes,CAR_INT,TINYINT,183877219,0,0.0,6,0.0,1,6,54.221
main,internacoes,ESPEC,TINYINT,183877219,0,0.0,17,0.0,1,87,54.221
main,internacoes,COMPLEX,VARCHAR,183877219,0,0.0,3,0.0,00,03,54.221
main,internacoes,MARCA_UTI,TINYINT,183877219,0,0.0,18,0.0,0,99,54.221
main,internacoes,UTI_INT_TO,TINYINT,183877219,0,0.0,28,0.0,0,125,54.221
main,internacoes,IND_VDRL,BOOLEAN,183877219,0,0.0,2,0.0,False,True,54.221
main,internacoes,MORTE,BOOLEAN,183877219,0,0.0,2,0.0,False,True,54.221
main,internacoes,GESTRISCO,BOOLEAN,183877219,0,0.0,2,0.0,False,True,54.221
main,internacoes,DIAG_PRINC,VARCHAR,183877219,0,0.0,12057,6.6e-05,A00,Z999,54.221
main,internacoes,DIAG_SECUN,VARCHAR,183877219,0,0.0,13216,7.2e-05,,Z999,54.221
main,internacoes,CID_MORTE,VARCHAR,183877219,0,0.0,6994,3.8e-05,,Z999,54.221
main,internacoes,CID_NOTIF,VARCHAR,183877219,0,0.0,67,0.0,,ZZ30,54.221
main,internacoes,DIAGSEC1,VARCHAR,183877219,66800954,0.363291,14603,7.9e-05,,Z999,54.221
main,internacoes,DIAGSEC2,VARCHAR,183877219,66800954,0.363291,10905,5.9e-05,,Z999,54.221
main,internacoes,DIAGSEC3,VARCHAR,183877219,66800954,0.363291,6766,3.7e-05,,Z999,54.221
main,internacoes,DIAGSEC4,VARCHAR,183877219,66800954,0.363291,6275,3.4e-05,,Z999,54.221
main,internacoes,DIAGSEC5,VARCHAR,183877219,66800954,0.363291,4928,2.7e-05,,Z993,54.221
main,internacoes,DIAGSEC6,VARCHAR,183877219,66800954,0.363291,3364,1.8e-05,,Z992,54.221
main,internacoes,DIAGSEC7,VARCHAR,183877219,66800954,0.363291,1634,9e-06,,Z999,54.221
main,internacoes,DIAGSEC8,VARCHAR,183877219,66800954,0.363291,1,0.0,,,54.221
